Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
7.4,6.1923785,5.523975,5.305916
6.1,4.1897783,3.703939,3.749365
2.6,1.9374712,1.5674214,1.8645706
2.2,1.341762,1.1675407,1.4357418
5.4,3.9792085,3.8186061,4.2654505
3.2,2.496244,2.2510376,2.4736302
2.7,3.0574079,2.7493281,3.1175437
3.0,3.1229053,2.832803,3.214802
2.9,4.2018003,3.9964592,4.50567
3.7,4.0127196,3.725486,4.217698
3.8,3.9895434,3.6306272,4.184029
3.8,3.7755923,3.7995875,3.6624448
2.9,1.6948664,1.7014318,1.6183612
2.3,2.715126,2.5300825,2.50238
2.7,2.7857015,2.6674309,2.6237555
1.9,1.6801542,1.6218687,1.5870565
1.000001,1.4418937,1.1737245,1.2182568
1.5,1.7301613,1.5796775,1.5936109
1.000001,1.0995018,1.046341,1.0538411
0.6,0.5581595,0.4956993,0.5123519
0.3,0.47167996,0.42810115,0.4407091
4.6,3.17749,3.0930066,3.0591552
2.4,1.6048381,1.4735,1.5788716
2.8,2.4449522,2.2141013,2.2019475
3.6,2.4032,2.1833355,2.1943736
4.3,3.4304776,3.3953943,3.3834143
3.9,3.1542063,2.9977205,3.0276637
4.2,3.1056244,2.8873994,2.9174426
4.0,3.058303,2.8264039,2.8825715
4.2,3.762016,3.5088253,3.590808
4.1,3.7159843,3.4905465,3.5897708
4.2,4.4932423,4.298806,4.405731
2.0,2.373446,2.004547,2.1765234
6.4,4.317785,4.128637,5.0274224
4.7,4.4315176,4.168245,5.0225916
5.9,3.415723,3.0865192,3.6014457
4.9,3.5010843,3.149507,3.691066
5.6,4.5781636,4.1928105,5.0469503
5.8,4.592314,4.207887,5.037734
6.1,4.636852,4.206911,5.0115027
9.4,5.7478914,5.2116265,6.2362437
5.7,4.7300262,4.201535,5.051591
3.4,2.570082,2.0875149,2.4257178
2.4,1.2863493,1.0194774,1.2692829
2.9,2.3666446,2.4936254,2.2051053
1.1,2.4874723,2.2487807,2.1505933
1.5,2.7090793,2.4760065,2.3682356
1.6,2.7736459,2.5551796,2.440985
1.9,3.6828494,3.578236,3.3035004
2.8,3.534051,3.3348014,3.130591
1.9,3.5682456,3.2871146,3.1628127
1.8,3.9399803,3.7131307,3.526084
